Zip Code,DMA,Country,Population
52721,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CEDAR, IA",763
52722,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",36626
52726,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",5090
52727,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",353
52728,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",1075
52729,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",830
52730,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",4868
52731,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",730
52732,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",27227
52737,Davenport IA-Rock Island-Moline IL,"LOUISA, IA",472
52738,Davenport IA-Rock Island-Moline IL,"LOUISA, IA",3775
52739,Davenport IA-Rock Island-Moline IL,"MUSCATINE, IA",690
52742,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",7822
52745,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",469
52746,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",944
52747,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CEDAR, IA",1951
52748,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",10218
52749,Davenport IA-Rock Island-Moline IL,"MUSCATINE, IA",1221
52750,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",545
52751,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",995
52753,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",5511
52754,Davenport IA-Rock Island-Moline IL,"LOUISA, IA",1384
